primitive_effect_id,registry_record_id,effect_kind,effect_scope,requires_gate,requires_receipt,idempotency_required
effect_be0e4b898c0d1280494daea1,primitive.repo.code_templates_validate_luhn_validate_luhn_py.function.py_function_code_templates_validate_luhn_validate_luhn_luhn_check,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_6aae8f7bbf1a79e8668acb1d,primitive.repo.code_templates_validate_luhn_validate_luhn_py.function.py_function_code_templates_validate_luhn_validate_luhn_run,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_9c95c9734011d509aee46322,primitive.repo.hf_space_app_py.const.py_const_hf_space_app_here,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_5711e23c77c076a671f5e561,primitive.repo.hf_space_app_py.const.py_const_hf_space_app_root,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_d563f48340ea905209c165ae,primitive.repo.hf_space_app_py.const.py_const_hf_space_app_catalog,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_2cbf0e264d2d0e4c8aa1b630,primitive.repo.hf_space_app_py.const.py_const_hf_space_app_pipelines,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_db35ac272fd3cd6f85942e80,primitive.repo.hf_space_app_py.function.py_function_hf_space_app_render_pipeline_card,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_9bb1ef762abca30e1559bf1b,primitive.repo.hf_space_app_py.function.py_function_hf_space_app_sample_inputs_text,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_af0d18ae93c93bf11ead0358,primitive.repo.hf_space_app_py.function.py_function_hf_space_app_run_handler,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_75c52d8d14c77751029ed1ee,primitive.repo.hf_space_app_py.function.py_function_hf_space_app_build_app,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
effect_5a0c999abcbb5ce6cbdab54c,primitive.repo.hf_space_app_py.var.py_var_hf_space_app_app,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_c3b8b182190e2342630f1309,primitive.repo.scripts_config_py.const.py_const_scripts_config_repo_root,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_4d7ebfc06bd1ce4db0c2d55c,primitive.repo.scripts_config_py.const.py_const_scripts_config_catalog_dir,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_e37cff90debd3474ce13bf44,primitive.repo.scripts_config_py.const.py_const_scripts_config_schemas_dir,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_6a1ed1f110ce2728b5d290c0,primitive.repo.scripts_config_py.const.py_const_scripts_config_vocab_dir,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_ec5779870856793f9062d888,primitive.repo.scripts_config_py.const.py_const_scripts_config_dist_dir,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_026168baf4f0250915e7fe01,primitive.repo.scripts_config_py.const.py_const_scripts_config_docs_dir,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_38b5453ce09ab2858bb5e473,primitive.repo.scripts_config_py.const.py_const_scripts_config_oh_catalog_row_dir_env,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_e897d8d8c0080f9a9db1bdf1,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_catalog_row_dir,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_b4dbf4a16b070079cc2aeac3,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_postgres_compose_file,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_c7bd60361de1b1102e423188,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_postgres_schema_file,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_d60076dcd1c120cf588e3f2e,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_postgres_count_sql,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_cf21084452550ce896a3e26b,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_postgres_load_sql,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_8051ccac4d38486d3aa64e1b,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_local_postgres_database_url,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_1e508c184ea49e9e41a13f2c,primitive.repo.scripts_config_py.const.py_const_scripts_config_managed_postgres_pgvector_url_placeholder,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_7d1007a8f6ad21b980c34717,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_database_url_env,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_bd7e82875b4609feef350e12,primitive.repo.scripts_config_py.const.py_const_scripts_config_oh_pg_dsn_env,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_2222877a4d4209f3ca09b767,primitive.repo.scripts_config_py.const.py_const_scripts_config_postgres_dsn_env_vars,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_0efcabc6d1f95a0b1b332381,primitive.repo.scripts_config_py.const.py_const_scripts_config_libpq_pg_env_prefix,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_b9983dcded4a3bfe29af703d,primitive.repo.scripts_config_py.const.py_const_scripts_config_admin_demo_runtime_settings,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_8259f66a7aaef2f13059a079,primitive.repo.scripts_config_py.const.py_const_scripts_config_context_gateway_runtime_settings,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_8196cca84c02e76db22c201c,primitive.repo.scripts_config_py.const.py_const_scripts_config_context_worker_runtime_settings,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_fc8a475bae60a39dda7b7c0f,primitive.repo.scripts_config_py.const.py_const_scripts_config_context_tool_adapter_runtime_settings,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_28ed523b492b4382a777a486,primitive.repo.scripts_config_py.const.py_const_scripts_config_context_tool_adapter_service_endpoints,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_66bcb99c6e5fd8ed8cd9424b,primitive.repo.scripts_config_py.const.py_const_scripts_config_node_research_runtime_settings,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_4cbc86ba55ced7ae47ef6181,primitive.repo.scripts_config_py.const.py_const_scripts_config_ollama_host_env,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_1261f1391c9cc4a853dec525,primitive.repo.scripts_config_py.const.py_const_scripts_config_ollama_model_env,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_2869df10b371ca17efa8b1f0,primitive.repo.scripts_config_py.const.py_const_scripts_config_oh_ollama_max_tokens_env,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_ca251af385dc36ff03e7f3c1,primitive.repo.scripts_config_py.const.py_const_scripts_config_oh_ollama_timeout_env,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_dcc6ee44fe7f7ef77132140e,primitive.repo.scripts_config_py.const.py_const_scripts_config_anthropic_api_key_env,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_592a5502a41d82b6b36bff35,primitive.repo.scripts_config_py.const.py_const_scripts_config_oh_anthropic_model_env,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_70b595554b9b6ab8c4b2416a,primitive.repo.scripts_config_py.const.py_const_scripts_config_openai_api_key_env,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_f2f3fef49bff910fe087eadf,primitive.repo.scripts_config_py.const.py_const_scripts_config_oh_openai_model_env,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_950ef52f1f03acb8a0746377,primitive.repo.scripts_config_py.const.py_const_scripts_config_oh_openai_endpoint_env,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_67f34acf74f84fbc13c16980,primitive.repo.scripts_config_py.const.py_const_scripts_config_oh_rerank_model_env,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_39c79467bbd93763dc50c442,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_ollama_host,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_a3fc6cfe459dccd882c1dfc6,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_ollama_judge_model,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_ad072779a245d207c384dca9,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_anthropic_judge_model,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_dbe4b3783261145a1df4da56,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_openai_judge_model,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_d44b95af9eb8dc31b22fb81e,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_gemma_rerank_model,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_fb4bf12c0351182351e7a990,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_openai_chat_completions_endpoint,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_32f4279c5cdbe08c0295e480,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_ollama_max_tokens,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_a4f424147684c6ac5beb9a58,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_ollama_timeout_seconds,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_306d51d6db7c4f1b58497f32,primitive.repo.scripts_config_py.const.py_const_scripts_config_ollama_judge_profile_id,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_11c2db0302d3cdc5ee9c41b5,primitive.repo.scripts_config_py.const.py_const_scripts_config_anthropic_judge_profile_id,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_6743c1e14a1fdd3f2576877f,primitive.repo.scripts_config_py.const.py_const_scripts_config_openai_judge_profile_id,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_dfb6a5b1266cd3838085bb1e,primitive.repo.scripts_config_py.const.py_const_scripts_config_ollama_gemma_rerank_profile_id,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_e25197ea7e11a21447842edf,primitive.repo.scripts_config_py.const.py_const_scripts_config_model_runtime_profiles,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_0788028b19b1cce9f1af6997,primitive.repo.scripts_config_py.const.py_const_scripts_config_claude_code_tool_tag,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_3b8b51deaae892fec8193a4d,primitive.repo.scripts_config_py.const.py_const_scripts_config_claude_flow_tool_tag,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_5f07c4860fdb8c6ef8e7d8cc,primitive.repo.scripts_config_py.const.py_const_scripts_config_registered_tool_tags,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_e853f6c92cabdb388b5e91eb,primitive.repo.scripts_config_py.const.py_const_scripts_config_deepseek_r1_model_family_tag,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_ac5a4dddd882142b570d5856,primitive.repo.scripts_config_py.const.py_const_scripts_config_registered_model_family_tags,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_1e7d1c5f4ed0d798d31360d4,primitive.repo.scripts_config_py.const.py_const_scripts_config_gpt_pricing_class,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_dcf5b7ce4dc43d8f039d4f6d,primitive.repo.scripts_config_py.const.py_const_scripts_config_registered_model_class_values,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_461214cbd9c597afe4048c57,primitive.repo.scripts_config_py.const.py_const_scripts_config_ollama_llama3_example_model,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_c274fced7da4d54009effc83,primitive.repo.scripts_config_py.const.py_const_scripts_config_openai_gpt4o_example_model,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_0e63b6e3171da6d9f6b2d063,primitive.repo.scripts_config_py.const.py_const_scripts_config_openai_gpt4o_mini_example_model,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_e475ed96e1af8e66ee2f1565,primitive.repo.scripts_config_py.const.py_const_scripts_config_chatanywhere_demo_model,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_b74550cea350e992bf9a6f82,primitive.repo.scripts_config_py.const.py_const_scripts_config_registered_example_model_values,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_93f0f83b8f4beaa48555f2a9,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_embedding_model,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_6ea4e437523ec9daf23a1a49,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_sentence_transformers_embedding_model,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_6cde8de082df11c411d65dfa,primitive.repo.scripts_config_py.const.py_const_scripts_config_hash_bow_embedding_model,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_c0f482f1acf3e1c7faade613,primitive.repo.scripts_config_py.const.py_const_scripts_config_tfidf_svd_embedding_model,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_1ca8e1507c7575bae026ac1b,primitive.repo.scripts_config_py.const.py_const_scripts_config_hash_bow_fallback_dimensions,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_4d696cc0d4366eb3fe3b34ab,primitive.repo.scripts_config_py.const.py_const_scripts_config_tfidf_svd_dimensions,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_13c24775fa489d5fd8bd366c,primitive.repo.scripts_config_py.const.py_const_scripts_config_embedding_models,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_258e1e05fffc59fa608d491f,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_ollama_embed_model,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_87a1807486816af1dd3a8513,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_openai_embed_model,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_1f9d7db3209dacd20f271904,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_mistral_embed_model,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_20bb742c6a8b11b5fa5dfe58,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_embedding_dimensions,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_f360fa30d63279c5e3e212f3,primitive.repo.scripts_config_py.const.py_const_scripts_config_local_bge_small_profile_id,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_7a509ba187fa078ff5a8d1d3,primitive.repo.scripts_config_py.const.py_const_scripts_config_local_e5_small_profile_id,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_f2e032e9af0c22fd11a2da4a,primitive.repo.scripts_config_py.const.py_const_scripts_config_openai_compatible_small_profile_id,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_44ea7d39ffecd17b573eae20,primitive.repo.scripts_config_py.const.py_const_scripts_config_hosted_small_placeholder_profile_id,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_9a9d018025d7c0af0f07f289,primitive.repo.scripts_config_py.const.py_const_scripts_config_default_embedding_profile_id,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_201f674f795433a1edca8e35,primitive.repo.scripts_config_py.const.py_const_scripts_config_embedding_model_profiles,unknown_candidate,"{""execution_surface"": ""python_source_symbol_candidate""}",true,false,false
effect_80773142873556bb83868989,primitive.repo.scripts_config_py.function.py_function_scripts_config_embedding_model_profiles,unknown_candidate,"{""execution_surface"": ""python_callable_candidate""}",true,false,false
