primitive_edge_id,registry_record_id,edge_role,edge_name,contract_uid,contract_notation,shape,field_keys,schema_json,artifact_policy,secret_policy,edge_hash
edge_0f4ca1260b494fc039c16d0c,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_dedup_case_insensitive,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},0f4ca1260b494fc039c16d0c060d9f619cc94c0c078a37d8038e1f9abdbc2406
edge_5d2092ee4541ac85172a33f7,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_empty,input,input,contract_8e55fd1ebaa153d28c807172,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},5d2092ee4541ac85172a33f7a11599c4d7bf0594f70d1ec6aef088d20fa9257f
edge_dcf38c43ee41e3bb2ac9047e,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_empty,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},dcf38c43ee41e3bb2ac9047eaf537d4bd6ddbbc6061fc3efdc7adba92c916ef3
edge_597248a7f046ac7cb67bcfab,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_no_emails,input,input,contract_8e55fd1ebaa153d28c807172,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},597248a7f046ac7cb67bcfab7024624953272775822ef67f701cc1f8fe2a12d5
edge_16dcbe96a016e48f30346a57,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_no_emails,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},16dcbe96a016e48f30346a57aaf88aca848bfc7f723046e4c547fb01cf7b36ba
edge_56a04babab261ac644b6bcd0,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_missing_text,input,input,contract_8e55fd1ebaa153d28c807172,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},56a04babab261ac644b6bcd082d5a34220d422939a3db35ed6be0d3a6768add6
edge_c9106e1afd8f0dbf0ab0ff9d,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_missing_text,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},c9106e1afd8f0dbf0ab0ff9ddcb46d4933c0a6e174c3b8af25de33015e81538d
edge_74d579d49ba195a80c2e1a8f,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_type_error,input,input,contract_8e55fd1ebaa153d28c807172,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},74d579d49ba195a80c2e1a8fc380023a6a32498f5ced5290dff8cf947d4fbeab
edge_165de05ee88981871fee052b,primitive.repo.code_templates_extract_email_tests_test_extract_email_py.function.py_function_code_templates_extract_email_tests_test_extract_email_test_type_error,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},165de05ee88981871fee052b30239af69a7f33731352666e630df2d3d357af48
edge_4ae242435b02adbffa34715c,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_phone_candidate,input,input,contract_98cdd97ed47632b98dcc0da5,source_symbol_candidate,source_symbol_candidate,[],"{""kind"": ""const"", ""shape"": ""source_symbol_candidate""}",{},{},4ae242435b02adbffa34715c543f7f1caf3045eeaa02029bccdeac3a7bef6fd6
edge_2d8ea8ed65255f30dc7d50fb,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_phone_candidate,output,output,contract_881d46bf17689470c77a7f78,python_value_candidate,python_value_candidate,[],"{""kind"": ""const"", ""shape"": ""python_value_candidate""}",{},{},2d8ea8ed65255f30dc7d50fb267c02d1dee64d262588b4ac2c9248f63abab9bb
edge_327d4d96dcf0f3cc7bd0f18c,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_digits,input,input,contract_98cdd97ed47632b98dcc0da5,source_symbol_candidate,source_symbol_candidate,[],"{""kind"": ""const"", ""shape"": ""source_symbol_candidate""}",{},{},327d4d96dcf0f3cc7bd0f18cf44fda9ecddc156e5d7e261669434d5ad58f4faa
edge_2b6a3381df4a869dc6e57e74,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_digits,output,output,contract_881d46bf17689470c77a7f78,python_value_candidate,python_value_candidate,[],"{""kind"": ""const"", ""shape"": ""python_value_candidate""}",{},{},2b6a3381df4a869dc6e57e74cbee44bf1d3b57915e2d76f54b2b6e26fe51d488
edge_706a2b17cefc6afe6e779a5e,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_keep,input,input,contract_98cdd97ed47632b98dcc0da5,source_symbol_candidate,source_symbol_candidate,[],"{""kind"": ""const"", ""shape"": ""source_symbol_candidate""}",{},{},706a2b17cefc6afe6e779a5e7c0eb2efe6d03dabf721865cc5442acc643ebed0
edge_c6978a8c70beeb5754e6ee4f,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_keep,output,output,contract_881d46bf17689470c77a7f78,python_value_candidate,python_value_candidate,[],"{""kind"": ""const"", ""shape"": ""python_value_candidate""}",{},{},c6978a8c70beeb5754e6ee4ff8dbc354e76145c7192258ce378d73c12fc6ef98
edge_fcc11bb0c86c12a22d53f372,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.function.py_function_code_templates_extract_phone_e164_extract_phone_e164_normalize,input,input,contract_a2e1fa8f20463d52266d22c7,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [{""kind"": ""python_parameter"", ""name"": ""raw"", ""required"": true, ""source_line"": 21}, {""kind"": ""python_parameter"", ""name"": ""default_cc"", ""required"": true, ""source_line"": 21}], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},fcc11bb0c86c12a22d53f3728bc8971cac0dbc2f10cd36ed4578ca61bf96c63f
edge_533ed8edf79313d056abb23e,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.function.py_function_code_templates_extract_phone_e164_extract_phone_e164_normalize,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},533ed8edf79313d056abb23eac2bbcd67d4d9b2072edaf04613ade814ec864ec
edge_a087686b787f822429d503e5,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.function.py_function_code_templates_extract_phone_e164_extract_phone_e164_run,input,input,contract_822f4a9424de55c8fb43a250,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [{""kind"": ""python_parameter"", ""name"": ""inputs"", ""required"": true, ""source_line"": 34}], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},a087686b787f822429d503e503adaf9c336f24023693c8d6fcd3b7237af7b3db
edge_cb4d7c1b59da78dffa178077,primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.function.py_function_code_templates_extract_phone_e164_extract_phone_e164_run,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},cb4d7c1b59da78dffa1780772069a4f05d60f99b7d63b3ce2ed865636927e2d7
edge_000019262db2fe987c1a6b21,primitive.repo.code_templates_extract_url_extract_url_py.const.py_const_code_templates_extract_url_extract_url_url_re,input,input,contract_98cdd97ed47632b98dcc0da5,source_symbol_candidate,source_symbol_candidate,[],"{""kind"": ""const"", ""shape"": ""source_symbol_candidate""}",{},{},000019262db2fe987c1a6b215d1f9fcfdf658aeeb014989f01ab5c6f4a94bc51
edge_bc28eb7bee02561d8958d9fe,primitive.repo.code_templates_extract_url_extract_url_py.const.py_const_code_templates_extract_url_extract_url_url_re,output,output,contract_881d46bf17689470c77a7f78,python_value_candidate,python_value_candidate,[],"{""kind"": ""const"", ""shape"": ""python_value_candidate""}",{},{},bc28eb7bee02561d8958d9fe3525271d820455734e5ab34d38851ada1463cc74
edge_e10bf5ade09f86f2fd217172,primitive.repo.code_templates_extract_url_extract_url_py.function.py_function_code_templates_extract_url_extract_url_run,input,input,contract_93501a0da25571c92768efae,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [{""kind"": ""python_parameter"", ""name"": ""inputs"", ""required"": true, ""source_line"": 10}], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},e10bf5ade09f86f2fd21717280d36f0715e41f5f9228c164dc42f5beef379dec
edge_c1a6e24ec254a2f74b0a184d,primitive.repo.code_templates_extract_url_extract_url_py.function.py_function_code_templates_extract_url_extract_url_run,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},c1a6e24ec254a2f74b0a184db03d8f1e63fe3fc23deb39334bd33bbd22ca688b
edge_4b9084143c2ea20f15c70f32,primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_jaro,input,input,contract_10a2e4a1db31234f8eb95330,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [{""kind"": ""python_parameter"", ""name"": ""s1"", ""required"": true, ""source_line"": 11}, {""kind"": ""python_parameter"", ""name"": ""s2"", ""required"": true, ""source_line"": 11}], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},4b9084143c2ea20f15c70f32eda0cacc38ec6b1d8b8de1b964c98ddcdce74afc
edge_3e9c9fd436caba3094a56e57,primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_jaro,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},3e9c9fd436caba3094a56e57c8352fa8fef353b7b6dde0c7fe9fe8e2f0c0ed4a
edge_a1907b11a7977f21442ace73,primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_jaro_winkler,input,input,contract_a05a5cbc896ba4bcb0408fb2,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [{""kind"": ""python_parameter"", ""name"": ""s1"", ""required"": true, ""source_line"": 52}, {""kind"": ""python_parameter"", ""name"": ""s2"", ""required"": true, ""source_line"": 52}, {""kind"": ""python_parameter"", ""name"": ""p"", ""required"": true, ""source_line"": 52}, {""kind"": ""python_parameter"", ""name"": ""prefix_max"", ""required"": true, ""source_line"": 52}], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},a1907b11a7977f21442ace739d35af255c356e3616fb53966bdbebd0275fed1a
edge_7621552848496c9eae27e23c,primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_jaro_winkler,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},7621552848496c9eae27e23c911712942a6116e97a191bc8ba042c9c07dacc62
edge_dd162ed22e00b88ab8fbb229,primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_run,input,input,contract_0245c20c4d693069538a2163,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [{""kind"": ""python_parameter"", ""name"": ""inputs"", ""required"": true, ""source_line"": 65}], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},dd162ed22e00b88ab8fbb22957ebde51b961653258effacf60aee74594e77b1f
edge_c608f579f2a937d1d74f4c80,primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_run,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},c608f579f2a937d1d74f4c804cb481b89db8f5fbcb6187bf5d05f538664adf46
edge_71903bed0b2fba239d20cda4,primitive.repo.code_templates_normalize_date_normalize_date_py.const.py_const_code_templates_normalize_date_normalize_date_patterns,input,input,contract_98cdd97ed47632b98dcc0da5,source_symbol_candidate,source_symbol_candidate,[],"{""kind"": ""const"", ""shape"": ""source_symbol_candidate""}",{},{},71903bed0b2fba239d20cda4ec1d566c04895af12fb0783d9433a803cd16093e
edge_1402261f8a8f7582acaa9328,primitive.repo.code_templates_normalize_date_normalize_date_py.const.py_const_code_templates_normalize_date_normalize_date_patterns,output,output,contract_881d46bf17689470c77a7f78,python_value_candidate,python_value_candidate,[],"{""kind"": ""const"", ""shape"": ""python_value_candidate""}",{},{},1402261f8a8f7582acaa9328bb79f457ccc9c24e61b502c812164e73c733d92d
edge_77603d6fa71b3f9b5dd4a2c1,primitive.repo.code_templates_normalize_date_normalize_date_py.function.py_function_code_templates_normalize_date_normalize_date_parse_one,input,input,contract_a4f37cb35f3b2b09a96c4dd4,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [{""kind"": ""python_parameter"", ""name"": ""raw"", ""required"": true, ""source_line"": 25}], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},77603d6fa71b3f9b5dd4a2c1e45b5058a506e263575c4a0f1226c4adcd683784
edge_99bbc9eb5b36a3d5ae4c54af,primitive.repo.code_templates_normalize_date_normalize_date_py.function.py_function_code_templates_normalize_date_normalize_date_parse_one,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},99bbc9eb5b36a3d5ae4c54afd0a4a2549f263c9b744911e26bd0199a77973d7a
edge_9dfa7047f9804c394d2cf5be,primitive.repo.code_templates_normalize_date_normalize_date_py.function.py_function_code_templates_normalize_date_normalize_date_run,input,input,contract_62154057a72f7ae42c8ad010,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [{""kind"": ""python_parameter"", ""name"": ""inputs"", ""required"": true, ""source_line"": 38}], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},9dfa7047f9804c394d2cf5be9b2ca30cda0c2b47b3dae8184793393c2cb30b41
edge_31139bb30fd88ebc651536ee,primitive.repo.code_templates_normalize_date_normalize_date_py.function.py_function_code_templates_normalize_date_normalize_date_run,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},31139bb30fd88ebc651536eef91b76a5fb8d8acc705ac9f03d85e6e92b07f7ab
edge_e246b3c5ad2b4834fac03b53,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_bool_input,input,input,contract_7bdc8c5dd5ed778331453c6d,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [{""kind"": ""python_parameter"", ""name"": ""value"", ""required"": true, ""source_line"": 13}, {""kind"": ""python_parameter"", ""name"": ""default"", ""required"": true, ""source_line"": 13}], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},e246b3c5ad2b4834fac03b53f497b78484851f04c66e2b7577d1c3383f776c15
edge_003396f0bab1485c96d752f4,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_bool_input,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},003396f0bab1485c96d752f4285744bb3ff62488a6b4a2d4183201c8f9bf9ab3
edge_27a520595f42d1241cfdc706,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_delimiter_input,input,input,contract_1aa26102413f21ab294dd4c4,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [{""kind"": ""python_parameter"", ""name"": ""value"", ""required"": true, ""source_line"": 21}], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},27a520595f42d1241cfdc706803001ad72055d92b05484e9b5465f556e271173
edge_877b44b1c2360ca9c61874a9,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_delimiter_input,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},877b44b1c2360ca9c61874a9302ec45a286bb9c83afd50d83a4997c7b75eab66
edge_238619350b7cbd9f41a19706,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_max_rows_input,input,input,contract_bd4c7951f1a04393d55ec2ae,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [{""kind"": ""python_parameter"", ""name"": ""value"", ""required"": true, ""source_line"": 31}], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},238619350b7cbd9f41a19706bce918454a5e9e56737bedd9e1e6ee49e83233dc
edge_68b75c215edf2a0673341468,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_max_rows_input,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},68b75c215edf2a0673341468acd37f2c15e2f90c707af99adf8f7797e43d94ca
edge_89d3e15a9c7b7a62efe4c6cb,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_dedupe_headers,input,input,contract_49baa54193dfb3c3daa5175c,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [{""kind"": ""python_parameter"", ""name"": ""headers"", ""required"": true, ""source_line"": 41}], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},89d3e15a9c7b7a62efe4c6cb11b9d1b8b13d4b048fffbfa17d1cdd7b3cee2a5c
edge_0cf90a89460167baa02578e4,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_dedupe_headers,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},0cf90a89460167baa02578e40079cb36a1af2a2465b7f128288a1bd941228a54
edge_c16fec9c9476651c93f6b328,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_run,input,input,contract_47c5656f1f425c1354fce6c7,callable_signature_candidate,callable_signature_candidate,[],"{""parameters"": [{""kind"": ""python_parameter"", ""name"": ""inputs"", ""required"": true, ""source_line"": 52}], ""shape"": ""callable_signature_candidate"", ""source"": ""repo_code_inventory""}",{},{},c16fec9c9476651c93f6b328471b62d86e769858d93b6f294b39078a8a2b31bf
edge_70c86959749a6b8d5c7f58d2,primitive.repo.code_templates_parse_csv_rows_parse_csv_rows_py.function.py_function_code_templates_parse_csv_rows_parse_csv_rows_run,output,output,contract_f8de77bcbfa88e12592ba661,unknown_candidate,unknown_candidate,[],"{""reason"": ""repo inventory does not prove return shape; promote only after proof receipts or observed logs"", ""shape"": ""unknown_candidate""}",{},{},70c86959749a6b8d5c7f58d22623b155edf608e5fda996546f214383fb342dc5
